nameActual,nameNBA,nameBREF
namePlayerDefense,DEF_PLAYER_NAME,NA
namePlayerLastFirst,DISPLAY_LAST_COMMA_FIRST,NA
namePlayerLastFirst,PLAYER_NAME_LAST_FIRST,NA
namePlayerOffense,OFF_PLAYER_NAME,NA
namePlayerOnOff,VS_PLAYER_NAME,NA
namePlayerPasser,PASS_FROM,NA
namePlayerPassTo,PASS_TO,NA
namePlayerPTSLeader,PTS_PLAYER_NAME,NA
namePlayerTREBLeader,REB_PLAYER_NAME,NA
nameSchool,SCHOOL,NA
nameSchool,SCHOOL_NAME,NA
nameSeasonMonth,SEASON_MONTH_NAME,NA
nameTeam,TeamName,Team
nameTeam,fullName,Team
nameTeamAwayLast,LAST_GAME_VISITOR_TEAM_NAME,NA
nameTeamHomeLast,LAST_GAME_HOME_TEAM_NAME,NA
nameTeamOpponent,OPPOSITETEAM,NA
nameTeamShort,TeamShortName,NA
netrtg,NET_RATING,NA
netrtg,NET_RTG,NA
netrtgE,E_NET_RATING,NA
netrtgRank,NET_RATING_RANK,NA
nicknameTeamDefense,DEF_TEAM_NICKNAME,NA
nicknameTeamOffense,OFF_TEAM_NICKNAME,NA
numberEvent,EVENTNUM,NA
numberEvent,EVENT_NUM,NA
numberEventActionType,EVENTMSGACTIONTYPE,NA
numberEventMessageType,EVENTMSGTYPE,NA
numberGameDate,GAME_SEQUENCE,NA
numberHomeG,HOME_G,NA
numberJersey,JERSEY_NUM,NA
numberJersey,NUM,NA
numberJersey,JERSEY,NA
numberJersey,PlayerNumber,NA
numberJersey,PLAYER_JERSEY_NUM,NA
numberJersey,num,NA
numberNextNGames,NumberOfGames,NA
numberOverallPick,DRAFT_NUMBER,NA
numberPeriod,PERIOD,NA
numberPeriodTime,LIVE_PERIOD,NA
numberPickOverall,OVERALL_PICK,NA
numberPlayer,jersey,Rk
numberPriority,Priority,NA
numberRank,RANK,NA
numberRound,ROUND_NUMBER,NA
numberRound,DRAFT_ROUND,NA
numberRoundPick,ROUND_PICK,NA
orb,NA,ORB
orderBoxScore,BOX_ORDER,NA
orderSort,SORT_ORDER,NA
oreb,OREB,NA
oreb,oreb,NA
orebChances,ORBC,NA
orebContested,C_OREB,NA
orebOpponent,OPP_OREB,NA
orebOpponentRank,OPP_OREB_RANK,NA
orebPerGame,ORPG,NA
orebRank,RANK_OREB,NA
orebRank,OREB_RANK,NA
orebRankF,F_RANK_OREB,NA
orebRankPer36,RANK_PMIN_OREB,NA
orebRankPerGame,RANK_PG_OREB,NA
orebUncontested,UC_OREB,NA
ortg,OFF_RATING,NA
ortg,ORTG,NA
ortgE,E_OFF_RATING,NA
ortgRank,OFF_RATING_RANK,NA
outcomeGame,WL,NA
outcomeGame,Outcome,NA
p,p,NA
pace,PACE,NA
paceDefense,DEF_PACE,NA
paceE,E_PACE,NA
paceOffense,OFF_PACE,NA
paceRank,PACE_RANK,NA
passes,PASS,NA
pct3PRate,NA,X3PAr
pctAnd1Drawn,PlusOne,NA
pctAST,AST_PCT,AST.
pctASTOfTeam,PCT_AST,NA
pctASTOfTeam,PCT_AST,NA
pctASTOfTeamRank,PCT_AST_RANK,NA
pctASTRank,AST_PCT_RANK,NA
pctBLK,NA,BLK.
pctBLKAOfTeam,PCT_BLKA,NA
pctBLKAOfTeam,PCT_BLKA,NA
pctBLKAOfTeamRank,PCT_BLKA_RANK,NA
pctBLKOfTeam,PCT_BLK,NA
pctBLKOfTeam,PCT_BLK,NA
pctBLKOfTeamRank,PCT_BLK_RANK,NA
pctBodyFat,BODY_FAT_PCT,NA
pctDoubleDouble,DBL_DBL,NA
pctDRB,NA,DRB.
pctDREB,DREB_PCT,NA
pctDREBOfTeam,PCT_DREB,NA
pctDREBOfTeam,PCT_DREB,NA
pctDREBOfTeamRank,PCT_DREB_RANK,NA
pctDREBRank,DREB_PCT_RANK,NA
pctEFG,EFG_PCT,eFG%
pctEFG,aFG,eFG%
pctEFG,EFG_PCT,eFG.
pctEFG,aFG,eFG.
pctEFGOpponent,OPP_EFG_PCT,NA
pctEFGOpponentRank,OPP_EFG_PCT_RANK,NA
pctEFGRank,EFG_PCT_RANK,NA
pctFG,FG_PCT,FG%
pctFG,FG,FG%
pctFG,FG_PCT,FG.
pctFG,FG,FG.
pctFG2,FG2_PCT,2P%
pctFG2,FG2_PCT,X2P.
pctFG2MasAssisted,PCT_AST_2PM,NA
pctFG2MasAssistedRank,PCT_AST_2PM_RANK,NA
pctFG2MasUnassisted,PCT_UAST_2PM,NA
pctFG2MasUnassistedRank,PCT_UAST_2PM_RANK,NA
pctFG3,FG3_PCT,3P%
pctFG3,TPP,3P%
pctFG3,FG3_PCT,X3P.
pctFG3,TPP,X3P.
pctFG3AOfTeam,PCT_FG3A,NA
pctFG3AOfTeam,PCT_FG3A,NA
pctFG3AOfTeamRank,PCT_FG3A_RANK,NA
pctFG3M,CFG3_PCT,NA
pctFG3MasAssisted,PCT_AST_3PM,NA
pctFG3MasAssistedRank,PCT_AST_3PM_RANK,NA
pctFG3MasUnassisted,PCT_UAST_3PM,NA
pctFG3MasUnassistedRank,PCT_UAST_3PM_RANK,NA
pctFG3MOfTeam,PCT_FG3M,NA
pctFG3MOfTeam,PCT_FG3M,NA
pctFG3MOfTeamRank,PCT_FG3M_RANK,NA
pctFG3Opponent,OPP_FG3_PCT,NA
pctFG3OpponentRank,OPP_FG3_PCT_RANK,NA
pctFG3Rank,RANK_FG3_PCT,NA
pctFG3Rank,FG3_PCT_RANK,NA
pctFG3RankF,F_RANK_FG3_PCT,NA
pctFGAasFG2,PCT_FGA_2PT,NA
pctFGAasFG2Rank,PCT_FGA_2PT_RANK,NA
pctFGAasFG3,PCT_FGA_3PT,NA
pctFGAasFG3Rank,PCT_FGA_3PT_RANK,NA
pctFGAOfTeam,PCT_FGA,NA
pctFGAOfTeam,PCT_FGA,NA
pctFGAOfTeamRank,PCT_FGA_RANK,NA
pctFGAvg,NORMAL_FG_PCT,NA
pctFGContested,CFG_PCT,NA
pctFGDefending,D_FG_PCT,NA
pctFGMasAssisted,PCT_AST_FGM,NA
pctFGMasAssistedRank,PCT_AST_FGM_RANK,NA
pctFGMasUnassisted,PCT_UAST_FGM,NA
pctFGMasUnassistedRank,PCT_UAST_FGM_RANK,NA
pctFGMOfTeam,PCT_FGM,NA
pctFGMOfTeam,PCT_FGM,NA
pctFGMOfTeamRank,PCT_FGM_RANK,NA
pctFGOpponent,OPP_FG_PCT,NA
pctFGOpponentRank,OPP_FG_PCT_RANK,NA
pctFGPerGame,FGP,NA
pctFGRank,RANK_FG_PCT,NA
pctFGRank,FG_PCT_RANK,NA
pctFGRankF,F_RANK_FG_PCT,NA
pctFGRimDefended,DFG_PCT,NA
pctFGUncontested,UFG_PCT,NA
pctFrequency,Time,NA
pctFrequency,FREQUENCY,NA
pctFrequency,FREQ,NA
pctFT,FT_PCT,FT%
pctFT,FT_PCT,FT.
pctFTAOfTeam,PCT_FTA,NA
pctFTAOfTeam,PCT_FTA,NA
pctFTAOfTeamRank,PCT_FTA_RANK,NA
pctFTDrawn,FT,NA
pctFTMOfTeam,PCT_FTM,NA
pctFTMOfTeam,PCT_FTM,NA
pctFTMOfTeamRank,PCT_FTM_RANK,NA
pctFTOpponent,OPP_FT_PCT,NA
pctFTOpponentRank,OPP_FT_PCT_RANK,NA
pctFTPerGame,FTP,NA
pctFTRank,RANK_FT_PCT,NA
pctFTRank,FT_PCT_RANK,NA
pctFTRankF,F_RANK_FT_PCT,NA
pctFTRate,NA,FTr
pctLosses,lossPctV2,NA
pctLossRemove,lossPct,NA
pctOffenseMatchup,OFF_MATCHUP_PCT,NA
pctORB,NA,ORB.
pctOREB,OREB_PCT,NA
pctOREBOfTeam,PCT_OREB,NA
pctOREBOfTeam,PCT_OREB,NA
pctOREBOfTeamRank,PCT_OREB_RANK,NA
pctOREBOpponent,OPP_OREB_PCT,NA
pctOREBOpponentRank,OPP_OREB_PCT_RANK,NA
pctOREBRank,OREB_PCT_RANK,NA
pctPFDOfTeam,PCT_PFD,NA
pctPFDOfTeam,PCT_PFD,NA
pctPFDOfTeamRank,PCT_PFD_RANK,NA
pctPFOfTeam,PCT_PF,NA
pctPFOfTeam,PCT_PF,NA
pctPFOfTeamRank,PCT_PF_RANK,NA
pctPTSasFB,PCT_PTS_FB,NA
pctPTSasFBRank,PCT_PTS_FB_RANK,NA
pctPTSasFG2,PCT_PTS_2PT,NA
pctPTSasFG2asMR,PCT_PTS_2PT_MR,NA
pctPTSasFG2asMRRank,PCT_PTS_2PT_MR_RANK,NA
pctPTSasFG2Rank,PCT_PTS_2PT_RANK,NA
pctPTSasFT,PCT_PTS_FT,NA
pctPTSasFTRank,PCT_PTS_FT_RANK,NA
pctPTSasOffTOV,PCT_PTS_OFF_TOV,NA
pctPTSasOffTOVRank,PCT_PTS_OFF_TOV_RANK,NA
pctPTSasPaint,PCT_PTS_PAINT,NA
pctPTSasPaintRank,PCT_PTS_PAINT_RANK,NA
pctPTSOfTeam,PCT_PTS,NA
pctPTSOfTeam,PCT_PTS,NA
pctPTSOfTeamRank,PCT_PTS_RANK,NA
pctREBOfTeam,PCT_REB,NA
pctScore,Score,NA
pctShootingFoulDrawn,SF,NA
pctsPTSasFG3,PCT_PTS_3PT,NA
pctsPTSasFG3Rank,PCT_PTS_3PT_RANK,NA
pctSTL,NA,STL.
pctSTLOfTeam,PCT_STL,NA
pctSTLOfTeam,PCT_STL,NA
pctSTLOfTeamRank,PCT_STL_RANK,NA
pctTOV,TO_RATIO,TOV.
pctTOVE,E_TM_TOV_PCT,NA
pctTOVOfTeam,PCT_TOV,NA
pctTOVOfTeam,PCT_TOV,NA
pctTOVOfTeamRank,PCT_TOV_RANK,NA
pctTOVOpponent,OPP_TOV_PCT,NA
pctTOVOpponentRank,OPP_TOV_PCT_RANK,NA
pctTOVTeam,TM_TOV_PCT,NA
pctTOVTeam,TOV_PCT,NA
pctTOVTmRank,TM_TOV_PCT_RANK,NA
pctTRB,NA,TRB.
pctTREB,REB_PCT,NA
pctTREBContested,C_REB_PCT,NA
pctTREBOfTeam,PCT_REB,NA
pctTREBOfTeamRank,PCT_REB_RANK,NA
pctTREBRank,REB_PCT_RANK,NA
pctTREBUncontested,UC_REB_PCT,NA
pctTripleDouble,TPL_DBL,NA
